CNTSCHID,CNTSTUID,STRATUM,REPEAT,WORKPAY,DURECEC,SISCO,SCHRISK,INFOSEEK,ESCS,ICTSCH,ICTAVSCH,ICTQUAL,ICTENQ,MPVMATH,MPVREAD,MPVSCIE
50400089,50400580,MAR01,0,0,2,1,-0.6386,1.3976,-2.206,0.4062,7,0.0262,1.2049,388.259,394.436,432.9784
50400025,50400594,MAR01,0,0,3,1,-0.6386,0.0641,1.2257,0.4062,7,2.8889,-0.4535,437.0675,425.619,453.8625
50400093,50400595,MAR01,0,0,2,9,-0.6386,-1.1032,-1.4283,0.4062,7,-0.2585,-0.5448,396.411,414.007,402.6607
50400137,50400612,MAR01,1,0,3,9,1.2062,1.0711,-3.0617,0.4062,7,-0.4573,-0.4672,294.8625,287.5286,345.4014
50400046,50400619,MAR01,1,0,2,1,0.4456,0.2376,-2.0252,-5.6242,0,-2.8028,-2.3763,397.9197,367.0099,343.0459
50400129,50400635,MAR01,0,9,0,9,0.5348,-1.1032,-2.9348,0.4062,7,-0.0821,-0.6094,376.2137,384.6953,414.288
50400078,50400642,MAR01,1,0,0,1,1.6458,1.3144,-3.6428,-0.8411,6,-0.728,0.098,342.3554,311.1821,325.6535
50400059,50400648,MAR01,1,10,2,1,-0.6386,-1.1032,-1.9949,0.4062,7,-1.0009,-2.3763,326.6246,235.0176,345.0965
50400129,50400655,MAR01,0,0,2,9,0.5348,-1.1032,0.5738,0.4062,7,-1.6835,-0.5303,387.2511,406.743,441.2272
50400021,50400656,MAR01,1,0,2,9,0.5348,-1.1032,-3.6451,0.4062,7,-2.8028,-2.3763,348.622,313.8315,381.2584
50400059,50400658,MAR01,0,4,3,9,1.2046,0.7672,-2.002,-5.6242,0,1.0847,-0.5256,345.3858,248.9547,322.8965
50400071,50400670,MAR01,0,3,0,1,0.5348,0.7409,-2.0505,0.4062,7,-0.3459,0.0762,338.1409,387.3231,362.64
50400152,50400672,MAR01,0,0,2,0,-0.6386,-0.6724,-1.3593,-2.2425,4,-0.7113,-2.3763,365.5058,362.3324,342.7792
50400078,50400680,MAR01,0,0,0,1,0.5348,0.0424,-1.2278,0.4062,7,-0.5114,-0.2267,297.6896,314.1296,310.1456
50400046,50400692,MAR01,0,10,1,1,3.6492,-0.0156,-1.8526,0.4062,1,-2.8028,-2.3763,358.1107,374.3314,345.8192
50400046,50400706,MAR01,1,8,2,1,1.2062,0.625,0.3588,0.4062,7,-0.7436,0.1819,324.0914,268.4035,342.7526
50400093,50400716,MAR01,0,0,2,9,1.6441,-1.1032,-0.3724,0.4062,7,-0.5244,0.54,446.5706,474.511,431.5058
50400078,50400725,MAR01,1,3,2,1,1.2062,0.9981,-0.3338,0.4062,7,-0.0049,-0.3407,366.4445,316.486,361.5308
50400059,50400733,MAR01,0,0,1,9,-0.6386,-1.1032,-0.3754,0.4062,7,-0.8019,0.014,360.5829,362.9367,387.7208
50400092,50400742,MAR01,0,0,2,1,-0.6386,0.0886,-3.1252,0.4062,7,0.038,-0.6585,382.3851,440.6014,390.343
50400046,50400773,MAR01,1,10,2,1,0.5348,1.0245,-2.6692,0.4062,7,-2.8028,-2.3763,449.5238,411.0541,472.4558
50400059,50400793,MAR01,0,7,4,0,1.2046,0.4038,-0.4497,0.4062,7,-0.6068,-2.3763,460.8338,395.6295,420.4815
50400092,50400813,MAR01,0,8,2,1,0.5348,1.3048,-0.4535,0.4062,7,-0.9456,0.6048,355.0836,392.5684,384.3035
50400128,50400815,MAR01,1,1,2,9,1.1287,-1.1032,-1.4367,-0.7572,3,-0.6003,-2.3763,354.5242,303.9945,390.7099
50400046,50400817,MAR01,1,2,3,9,0.4456,-1.1032,-0.8438,0.4062,7,-0.5533,-0.5351,297.5048,261.56,289.2829
50400128,50400820,MAR01,1,0,2,9,-0.6386,-1.1032,-2.1919,0.1884,5,-2.8028,-2.3763,375.3059,351.313,359.6139
50400092,50400826,MAR01,0,0,2,1,-0.6386,0.5149,-2.3227,-3.1131,2,0.0742,1.1387,317.6695,343.8167,375.7578
50400137,50400835,MAR01,9,10,2,9,1.8634,-1.1032,-0.3852,0.4062,7,-0.6165,0.2628,292.8247,259.9694,300.5094
50400170,50400837,MAR01,1,0,0,1,2.6536,-0.2969,-0.9241,-1.4101,5,-0.4799,-2.3763,333.5316,374.4221,363.9115
50400071,50400845,MAR01,0,2,3,1,1.2062,0.9939,-2.7279,0.305,6,-1.0324,-0.3235,384.118,339.9003,385.2264
50400129,50400849,MAR01,0,0,2,9,-0.6386,-1.1032,-0.228,0.4062,7,-0.7351,-1.7158,433.3493,417.0012,438.2988
50400021,50400864,MAR01,1,0,2,9,0.5348,-0.0537,-1.8507,0.4062,7,-1.5526,-1.4218,297.8454,288.9913,311.762
50400006,50400865,MAR01,1,4,2,9,1.5406,0.6894,-0.7179,-1.8502,5,-1.0601,0.8239,325.7391,211.9787,377.9261
50400025,50400870,MAR01,0,5,2,1,-0.6386,0.8423,-0.5065,0.4062,7,1.5243,1.3184,416.5537,331.3472,383.3919
50400177,50400885,MAR01,1,7,2,0,-0.6386,0.9633,-3.2804,0.305,6,-0.4126,0.1792,387.7601,399.852,395.0609
50400170,50400892,MAR01,1,0,3,0,0.5348,0.6679,-2.1924,-1.993,4,-0.4646,0.7759,383.2336,348.7033,371.0721
50400071,50400898,MAR01,0,10,3,9,-0.6386,-1.1032,-1.7282,0.4062,7,-2.8028,-2.3763,326.1634,322.8113,290.4133
50400059,50400904,MAR01,1,0,1,9,-0.6386,-2.2369,-1.4331,0.4062,7,-0.5892,0.7622,329.0785,304.6321,311.6124
50400006,50400913,MAR01,1,4,1,9,1.2046,-1.1032,-2.732,0.4062,7,-2.8028,-2.3763,385.1936,353.6185,406.8627
50400128,50400922,MAR01,1,2,0,9,-0.6386,-1.1032,-0.9902,-1.3389,5,1.028,-0.0275,299.4949,279.651,316.1248
50400114,50400932,MAR01,1,0,2,1,-0.6386,-1.1032,-1.5535,0.4062,7,-2.8028,-0.2914,326.7051,310.6071,281.0802
50400128,50400957,MAR01,1,2,0,9,-0.6386,-1.1032,-1.9818,0.4062,7,0.1169,-0.5858,329.0917,265.0022,323.3553
50400089,50400963,MAR01,0,0,2,9,1.6458,1.2368,-1.281,0.4062,7,1.0742,-2.3763,364.3605,373.9942,344.3983
50400170,50400965,MAR01,1,0,2,9,3.6492,-1.1032,-2.4327,0.4062,7,0.0146,-2.3763,316.4734,308.5689,301.0238
50400137,50400968,MAR01,1,0,2,9,0.5348,-1.1032,-0.7275,0.4062,7,-2.8028,-2.3763,335.4155,332.0548,382.3754
50400128,50400972,MAR01,0,0,0,9,-0.6386,-1.1032,-2.6554,-2.2425,4,-2.8028,-2.3763,372.6141,360.838,406.4263
50400059,50400984,MAR01,1,10,1,9,-0.6386,-1.1032,-2.6683,0.4062,7,0.0742,0.8202,312.3341,253.3101,316.4556
50400114,50400988,MAR01,1,0,0,1,0.4456,-2.1754,-4.2406,0.4062,7,-0.5068,-2.3763,382.8454,337.6644,426.6699
50400168,50400996,MAR01,0,0,2,0,-0.6386,-0.4683,-0.5938,-3.2406,2,-1.5194,-0.6966,409.3007,398.348,421.2098
50400059,50401001,MAR01,0,0,2,1,-0.6386,-1.1032,-2.775,0.4062,7,-0.6091,-0.3584,391.6873,352.0128,368.8102
50400006,50401009,MAR01,1,0,3,9,-0.6386,-1.1032,-2.7097,0.4062,7,-1.4253,-1.0702,316.2862,286.1806,308.4757
50400129,50401041,MAR01,1,0,5,9,-0.6386,1.0596,-0.3915,-1.1809,6,-1.5509,0.7183,382.4889,391.1257,413.4149
50400092,50401049,MAR01,0,0,3,1,-0.6386,0.5774,-1.8396,0.4062,7,-1.0698,0.2572,430.3501,446.3206,484.6107
50400089,50401051,MAR01,0,0,2,1,-0.6386,-0.01,-2.4268,0.4062,7,0.3623,-0.9175,488.0191,462.2404,430.706
50400059,50401059,MAR01,1,2,2,9,0.181,-0.4537,-3.2984,0.4062,7,-0.7817,-0.7118,326.0836,304.4174,336.0258
50400025,50401060,MAR01,0,0,4,1,0.5348,0.4735,0.1597,0.4062,7,0.3623,0.3586,412.7654,354.0817,411.4401
50400170,50401069,MAR01,1,0,2,1,0.5348,-0.3923,-3.5959,0.4062,7,-2.8028,-0.7514,362.2072,401.0893,379.7698
50400114,50401078,MAR01,1,0,0,1,-0.6386,-0.3889,-3.5549,0.4062,7,-0.1858,1.2049,371.1411,357.2221,374.8747
50400100,50401085,MAR01,0,4,2,0,-0.6386,0.7217,-0.5804,-0.7291,6,0.3623,0.3257,391.3514,363.7966,379.5114
50400129,50401087,MAR01,0,0,1,1,-0.6386,0.9218,-2.1303,0.4062,7,-0.0702,0.1202,368.8553,365.8821,419.275
50400114,50401088,MAR01,1,0,2,1,-0.6386,2.5753,-1.8934,0.4062,1,-2.8028,-2.3763,369.2002,377.2886,399.0999
50400089,50401095,MAR01,0,0,3,9,-0.6386,-1.1032,-1.6906,-0.8518,5,-2.8028,0.4006,414.1277,392.8309,412.0276
50400089,50401098,MAR01,0,0,2,1,2.3889,0.2852,-0.4922,0.4062,7,-0.5251,0.785,483.6969,420.648,502.822
50400078,50401104,MAR01,1,8,1,1,1.1287,0.5561,-2.9731,-1.1809,6,-0.4439,0.4988,254.3473,191.2963,306.4681
50400006,50401114,MAR01,1,0,1,9,-0.6386,-1.1032,-3.5498,0.4062,7,-0.7275,-0.8434,326.2521,256.9313,315.5798
50400021,50401119,MAR01,1,4,0,1,-0.6386,-1.1032,-1.6924,0.4062,7,-0.1964,0.2524,291.1775,280.5629,289.5636
50400093,50401123,MAR01,0,0,3,9,-0.6386,-1.1032,-1.1892,0.4062,7,-0.6266,-0.1691,419.1736,411.1818,393.7954
50400114,50401134,MAR01,1,0,3,1,-0.6386,-0.0209,-2.8824,0.4062,7,0.3623,-0.3584,350.867,250.7557,310.7116
50400170,50401142,MAR01,1,0,2,1,-0.6386,-0.4841,-1.6011,0.3387,6,-0.4622,-1.2335,397.979,405.5678,457.5702
50400168,50401151,MAR01,0,4,4,1,2.3555,0.3088,0.6766,0.4062,7,-2.8028,-0.3459,424.2829,387.3244,435.5439
50400046,50401176,MAR01,1,0,0,9,1.2046,-1.1032,-1.1993,-1.0247,6,-0.4331,-0.4929,306.7258,261.7863,311.294
50400100,50401181,MAR01,0,0,2,1,-0.6386,-1.5039,-0.4658,0.4062,7,-1.0009,-2.3763,430.3458,472.0513,445.9804
50400129,50401212,MAR01,0,4,3,1,-0.6386,2.4249,-1.6001,0.4062,7,0.3625,0.7855,429.2355,472.2783,465.7896
50400168,50401215,MAR01,0,0,4,0,-0.6386,-0.4326,-1.472,-2.2425,4,-0.3624,-0.5391,427.7353,422.2528,443.8767
50400129,50401227,MAR01,0,0,3,9,1.8634,-1.1032,-1.0796,0.4062,7,-0.5618,-0.5382,389.003,341.5292,407.744
50400114,50401228,MAR01,1,0,3,1,-0.6386,0.4734,-1.8068,0.4062,7,0.3623,1.226,379.3435,328.6735,358.4734
50400092,50401238,MAR01,0,4,2,1,0.5348,0.6849,-1.8419,-0.8411,6,-0.0612,-0.1994,378.3363,446.8098,369.0948
50400093,50401251,MAR01,0,0,2,9,-0.6386,-1.1032,-0.8275,0.2604,6,0.0498,-0.4176,424.0117,381.6903,417.5408
50400089,50401255,MAR01,0,0,2,1,1.2062,-1.5045,-2.3185,-1.0561,6,2.1765,-0.9257,366.6945,345.8884,317.2498
50400021,50401285,MAR01,1,10,0,9,0.4437,-1.1032,-0.8167,0.4062,7,-1.966,-0.2928,308.5967,334.9623,284.8851
50400006,50401295,MAR01,1,4,0,9,1.1023,1.3334,-1.7414,0.4062,7,-2.8028,-1.7846,300.3847,207.576,348.5068
50400089,50401301,MAR01,0,0,2,1,-0.6386,1.3531,-0.548,0.4062,7,-0.7113,0.1811,478.5041,431.9937,508.7978
50400025,50401302,MAR01,0,0,1,9,-0.6386,-1.1032,0.4127,0.4062,7,-0.1308,-1.2112,372.7446,362.1889,379.1525
50400168,50401308,MAR01,0,0,1,9,0.181,-1.1032,-3.01,-2.0485,4,-0.358,-0.0648,451.1019,448.3585,449.5766
50400021,50401312,MAR01,1,4,0,9,-0.6386,-1.1032,-2.97,0.4062,7,-2.8028,-2.3763,333.7353,309.8232,341.9318
50400152,50401314,MAR01,0,1,2,1,-0.6386,0.8108,-2.7849,0.4062,7,0.6783,1.0568,348.9043,365.7639,405.611
50400021,50401315,MAR01,1,0,0,9,0.8185,-1.1032,-3.6062,0.4062,7,-2.8028,-2.3763,389.2339,357.5931,393.1899
50400137,50401316,MAR01,0,0,2,1,-0.6386,0.0376,-1.8432,0.1634,3,-0.2843,1.2336,294.2908,290.7227,326.0576
50400089,50401318,MAR01,0,10,2,1,-0.6386,-1.1032,-0.3532,0.3387,6,0.3948,-2.3763,388.5007,446.6534,369.8651
50400089,50401320,MAR01,0,0,3,9,-0.6386,-1.1032,-1.0868,0.2098,6,-0.2659,0.219,387.1117,437.3583,398.5987
50400089,50401322,MAR01,0,0,2,1,0.4456,1.4099,-0.9976,0.4062,7,0.3623,0.7715,407.0001,362.0084,374.7184
50400129,50401329,MAR01,0,2,0,9,-0.6386,-1.1032,-3.398,0.4062,7,-0.3651,-1.3097,339.3597,329.4963,366.6631
50400006,50401331,MAR01,1,3,0,9,-0.6386,-1.1032,-3.3106,0.4062,7,-1.276,-2.3763,327.0331,247.5738,319.5755
50400021,50401332,MAR01,1,10,1,9,0.4437,-1.1032,-1.3973,0.4062,1,0.8671,0.2489,287.7715,213.8736,301.708
50400137,50401336,MAR01,0,0,2,9,1.18,-1.1032,-3.3852,-0.8411,6,-2.8028,-2.1527,317.0335,315.0297,331.3436
50400177,50401339,MAR01,1,0,1,9,-0.6386,-1.1032,0.1233,0.4062,7,0.4039,-1.016,308.561,273.7397,321.6557
50400089,50401340,MAR01,0,0,2,1,1.8634,1.623,-1.7513,0.4062,7,-2.2555,-0.5317,431.4143,414.6133,394.4664
50400046,50401371,MAR01,1,2,2,9,2.6536,-0.8156,-1.7132,0.4062,7,-1.3619,0.4469,286.2582,264.8108,326.7863
50400170,50401374,MAR01,1,0,2,1,3.6492,0.1142,-1.3074,0.4062,7,-0.7643,-2.3763,301.6317,260.289,338.9514
50400114,50401382,MAR01,1,0,2,0,1.4844,-1.6608,-3.1433,0.4062,7,-0.6705,-2.3763,355.1299,325.4463,328.0132
50400177,50401383,MAR01,1,0,2,9,1.2062,-1.1032,-2.0209,0.4062,7,1.3429,-0.1493,352.7839,318.9309,349.8491
50400078,50401394,MAR01,1,0,0,1,0.4139,-0.1221,-4.0832,0.4062,7,-0.5532,-2.3763,318.5704,292.4698,359.6136
50400168,50401396,MAR01,0,0,3,1,0.181,-0.658,0.449,0.4062,7,-1.0009,-0.7264,426.228,398.2313,463.121
50400021,50401401,MAR01,1,1,2,1,-0.6386,-1.1032,-1.762,0.4062,7,-2.8028,-2.3763,309.7784,270.0191,310.3103
50400170,50401402,MAR01,1,0,2,9,1.8365,-1.1032,-0.8415,0.1919,5,0.3623,0.3031,345.2779,316.7034,336.3177
50400078,50401403,MAR01,1,2,5,1,0.4456,-1.086,-3.8609,0.4062,7,-0.3058,-0.7039,313.5428,252.5092,320.3989
50400071,50401405,MAR01,1,4,0,1,3.6492,1.519,-1.5241,0.4062,7,-0.4516,0.1682,321.7537,299.4664,349.7528
50400089,50401412,MAR01,0,2,2,1,-0.6386,-0.3814,-1.4245,0.4062,7,0.0742,-0.672,440.6111,400.0208,483.0295
50400152,50401439,MAR01,0,0,2,0,-0.6386,-0.5157,-4.2095,-3.3154,2,-1.0002,-0.7852,457.3436,454.0072,474.3769
50400128,50401446,MAR01,1,0,2,9,-0.6386,-1.1032,-2.6769,0.4062,7,0.3623,-2.3763,321.4176,308.5993,306.4365
50400078,50401454,MAR01,1,0,0,1,0.9993,0.0277,-1.3462,0.4062,7,-0.5573,0.2272,314.2262,244.6652,318.9798
50400114,50401463,MAR01,1,0,0,1,1.1039,2.4249,-2.642,0.4062,7,-0.8732,0.3109,293.0007,252.724,279.0364
50400100,50401476,MAR01,0,0,4,1,0.5348,1.1922,-3.3691,0.4062,7,-2.8028,-2.3763,365.4879,341.4661,399.3252
50400137,50401479,MAR01,1,0,2,9,-0.6386,-1.1032,-1.7933,0.4062,7,-0.4088,-0.6005,319.8612,297.937,336.6736
50400078,50401496,MAR01,0,1,0,1,-0.6386,1.3633,-3.0696,0.4062,7,-0.8663,0.539,273.7511,178.6578,273.2774
50400177,50401504,MAR01,1,2,0,1,-0.6386,-2.183,-3.5722,0.4062,7,-2.8028,-2.3763,306.6332,238.5332,398.9375
50400100,50401513,MAR01,0,0,2,1,0.5348,-0.6645,-3.421,0.4062,7,-0.8612,-0.913,485.0674,497.6514,482.7211
50400059,50401519,MAR01,1,10,2,9,0.5348,-1.1032,-3.5241,0.4062,7,-0.1,-0.8873,382.9348,306.6291,339.6374
50400025,50401526,MAR01,0,2,4,9,0.5348,-1.1032,0.6527,-0.8411,6,0.0498,0.7861,357.3081,306.1119,339.5692
50400006,50401537,MAR01,1,5,2,9,-0.6386,-1.1032,-2.9641,0.4062,7,-0.9129,-0.3881,283.9997,242.3553,292.4421
50400170,50401541,MAR01,1,0,2,9,1.6186,-1.1032,-1.1091,0.4062,7,0.4039,-2.3763,398.6193,362.2926,397.294
50400170,50401543,MAR01,1,0,2,9,1.1287,1.0428,-2.5557,0.4062,7,-0.6224,-0.9348,355.7518,308.511,338.6679
50400059,50401544,MAR01,1,0,2,9,-0.6386,-1.1032,-0.9771,0.2098,6,-0.1858,-0.9639,354.0974,300.996,352.5563
50400093,50401552,MAR01,0,0,3,1,0.181,-1.2001,0.5617,0.4062,7,-2.0084,-0.6658,539.6544,484.4106,501.9649
50400092,50401580,MAR01,0,0,1,9,-0.6386,-1.526,-2.2355,0.4062,7,-0.1502,-0.0379,371.3738,450.8024,407.1219
50400021,50401600,MAR01,1,0,1,9,0.5348,-1.1032,0.1274,0.4062,7,-2.8028,-2.3763,341.3221,348.594,365.1754
50400046,50401601,MAR01,1,0,7,1,2.6536,1.3433,-0.9408,-0.8411,6,-0.7071,-0.1642,305.9637,282.9074,316.4326
50400071,50401603,MAR01,0,0,0,1,0.181,1.7161,-1.4666,0.4062,7,-0.1139,0.0022,366.485,399.9025,404.5283
50400059,50401616,MAR01,0,5,1,9,0.4139,0.1876,-1.651,0.4062,7,-0.7187,0.2204,373.2678,273.6454,331.751
50400025,50401619,MAR01,0,0,3,1,-0.6386,-1.1032,-0.4653,-2.3214,4,2.8889,0.715,488.6152,455.2774,506.8284
50400071,50401652,MAR01,0,0,2,9,-0.6386,-1.1032,-2.6411,0.4062,7,-2.8028,-2.3763,360.7501,290.7902,388.8773
50400114,50401654,MAR01,1,0,0,0,-0.6386,1.1644,-2.5079,0.4062,7,-0.5893,-1.8439,397.3337,333.5697,432.5787
50400093,50401678,MAR01,0,0,2,9,-0.6386,-1.8039,-1.6934,-2.7761,2,-0.2114,-2.3763,363.3535,377.7565,366.1213
50400129,50401683,MAR01,0,0,3,1,-0.6386,1.4747,-1.0821,0.4062,7,-0.9253,0.7027,361.7297,376.7435,403.2381
50400092,50401685,MAR01,0,0,3,1,-0.6386,-0.5257,-3.4057,-0.7291,6,-0.9232,-0.7862,392.4082,352.0406,329.3674
50400092,50401688,MAR01,0,0,2,9,-0.6386,-1.1032,-2.1968,0.4062,7,-0.3863,-0.7748,366.4931,363.0057,385.3271
50400092,50401710,MAR01,0,0,2,1,-0.6386,-0.9353,-1.9695,0.4062,7,0.0498,-1.4949,313.6151,372.376,386.4402
50400129,50401711,MAR01,0,0,2,9,0.181,-1.1032,-3.3055,0.4062,7,-0.3181,-0.0155,387.4389,362.8973,427.7902
